C_1_Force[kN];C_1_Deplacement[mm]
9.387162209;2.301316023
9.402555466;2.305287123
9.420555115;2.309323072
9.446583748;2.313619614
9.460941315;2.31755805
9.481014252;2.321675301
9.503134727;2.325906754
9.523553848;2.330056667
9.552427292;2.334320545
9.578323364;2.338519335
9.605096817;2.342864752
9.626844406;2.346982002
9.655930519;2.351278543
9.685017586;2.355509758
9.706845284;2.35965991
9.731783867;2.363809824
9.753691673;2.368024826
9.771718025;2.372044563
9.789265633;2.375934362
9.813459396;2.380181789
9.827045441;2.384120226
9.853074074;2.388416767
9.873945236;2.392534256
9.898351669;2.396733046
9.925710678;2.400980473
9.95141983;2.405228138
9.981143951;2.409508467
10.00456715;2.413642168
10.04014111;2.417954683
10.06606388;2.422251225
10.08680153;2.42633605
10.10934734;2.430421114
10.13814068;2.434636116
10.15233898;2.438509464
10.16871643;2.442447901
10.19724464;2.446744204
10.21566868;2.450780392
10.24068737;2.454914093
10.2655468;2.459064007
10.29242611;2.463295221
10.31981087;2.467559099
10.34916306;2.471790552
10.38058853;2.476119518
10.40329456;2.480269432
10.43293858;2.48453331
10.46173286;2.488797426
10.4883194;2.492898464
10.51315212;2.497015953
10.54000473;2.501214743
10.55311298;2.505120516
10.57419586;2.509091616
10.60431957;2.513290405
10.61678886;2.517196178
10.64672565;2.521427631
10.67118549;2.525675058
10.70215988;2.529906511
10.73206997;2.534154177
10.75690269;2.538320303
10.78705215;2.542633057
10.81603241;2.546831846
10.84618187;2.551111937
10.87784767;2.555327177
10.899436;2.559428215
10.92506599;2.56359458
10.95072269;2.567777157
10.96728611;2.571536541
10.9885025;2.575572491
11.02482128;2.580113173
11.04181004;2.584067822
11.06914139;2.588299036
11.10022163;2.592514277
11.1255064;2.596713066
11.15320969;2.600944281
11.18317413;2.605175734
11.21497154;2.609520912
11.24137306;2.613670826
11.27168179;2.617934704
11.30425167;2.622231245
11.33235359;2.626364946
11.36154652;2.630563736
11.38829327;2.634681225
11.40786171;2.638733387
11.42851925;2.642655611
11.45300579;2.646854401
11.47201633;2.650711536
11.5021925;2.654975414
11.52609444;2.659125328
11.55773258;2.663324118
11.58894634;2.667571783
11.6174469;2.671786785
11.64985657;2.676099539
11.67764091;2.680184364
11.71648407;2.684497118
11.74804306;2.688793659
11.77019024;2.692878485
11.79345417;2.696849346
11.82551765;2.701113224
11.84553814;2.705003023
11.86600971;2.709055185
11.89717007;2.713253975
11.92093945;2.717371464
11.95013142;2.721554041
11.97477818;2.725703955
12.00742722;2.729870319
12.03850746;2.734134197
12.07301712;2.738349199
12.10816574;2.742694378
12.13791656;2.746811867
12.1689167;2.75104332
12.20284176;2.75532341
12.2289238;2.759326935
12.2562294;2.763362885
12.28632545;2.767496586
12.30584049;2.771500111
12.32474422;2.775389671
12.36340141;2.779751301
12.38506985;2.783803701
12.41636276;2.788083792
12.44425297;2.792201281
12.47772598;2.796497583
12.51313972;2.800777912
12.54552364;2.805025578
12.5778532;2.809305668
12.60810947;2.813439369
12.64323044;2.817752123
12.6772356;2.822016001
12.70759773;2.826165915
12.7329092;2.830218315
12.76460075;2.83444953
12.78568459;2.83833909
12.81471729;2.842472792
12.847579;2.846785545
12.87451172;2.85078907
12.89862633;2.854873896
12.93247223;2.859105349
12.96193027;2.863320351
12.99681282;2.867551804
13.03180122;2.871750593
13.06782627;2.876128435
13.09534454;2.880262136
13.13245964;2.884509802
13.16819286;2.888708591
13.20049667;2.892825842
13.23282623;2.896992207
13.26334858;2.901174784
13.28573418;2.905080557
13.30708408;2.90898633
13.34268379;2.913282871
13.36028481;2.917172432
13.39854336;2.92143631
13.42922497;2.925570011
13.46174145;2.929833889
13.49641037;2.934065342
13.53328705;2.93832922
13.57292843;2.942674398
13.60254669;2.946791887
13.63897038;2.95102334
13.67494297;2.955368519
13.7075119;2.959518433
13.7325573;2.963489532
13.76456833;2.967655659
13.7882309;2.971545219
13.81689167;2.975646496
13.84996605;2.979845285
13.87766933;2.983881235
13.90859032;2.988080025
13.94341946;2.992262602
13.9755373;2.996380091
14.01539135;3.000660181
14.05221367;3.004907846
14.09158993;3.009285688
14.12205791;3.013354301
14.16441154;3.017601967
14.1989212;3.021947145
14.22944355;3.026064634
14.25845051;3.030068159
14.29612446;3.034315586
14.32350922;3.038384199
14.34395409;3.042257547
14.37952805;3.046456337
14.40635395;3.050410986
14.44134235;3.054691315
14.47505474;3.058873653
14.51017666;3.06313777
14.54843521;3.067352772
14.58472729;3.071583986
14.62497997;3.075913191
14.6591177;3.080046892
14.69519615;3.084245682
14.73550224;3.088493109
14.76522636;3.092561722
14.79221249;3.096516371
14.82629776;3.100764036
14.85163498;3.104621172
14.87923241;3.10872221
14.92278194;3.113100052
14.95434093;3.117298841
14.98722935;3.121448994
15.01817608;3.125550032
15.0561161;3.129765034
15.09067917;3.134061575
15.13239479;3.138276577
15.17254066;3.142621994
15.20348835;3.146739244
15.24799538;3.151035786
15.28319645;3.155250788
15.31480885;3.159303188
15.35125923;3.163453102
15.38513184;3.167700768
15.41397858;3.171655416
15.43886375;3.175577641
15.48113728;3.179971695
15.50482655;3.183910131
15.5409584;3.188076258
15.57687759;3.192275047
15.6134882;3.196538925
15.65025806;3.200737953
15.69128227;3.204936743
15.73437977;3.209249258
15.77205372;3.213382959
15.80983353;3.217614412
15.84795952;3.221845865
15.88371944;3.225963116
15.91535759;3.229950428
15.94840622;3.234116554
15.96863842;3.237908602
16.00522232;3.24200964
16.04499626;3.246273756
16.07339096;3.250325918
16.11430931;3.254606247
16.15246201;3.258821249
16.19101334;3.263020039
16.23142624;3.267251253
16.27462959;3.271531582
16.31578636;3.275941849
16.34848785;3.280026674
16.38959122;3.284209251
16.42963219;3.288473129
16.46371651;3.292541742
16.49835968;3.296545267
16.5313015;3.300630093
16.56091881;3.304617405
16.58412933;3.308572054
16.62946129;3.312852383
16.65679169;3.31670928
16.69994354;3.321054697
16.73897362;3.325302124
16.78268242;3.329614878
16.82423782;3.33382988
16.86401176;3.338110209
16.90546227;3.342520475
16.94031715;3.346556664
16.98187256;3.350755453
17.02526283;3.355051756
17.06097031;3.359332085
17.08867264;3.363156557
17.12834167;3.367355347
17.16021919;3.371342421
17.19329262;3.375508785
17.23067474;3.379642487
17.26747131;3.3837924
17.30535889;3.388056278
17.34473419;3.392303944
17.38025475;3.396388769
17.42861557;3.400701523
17.46642303;3.404932976
17.50959969;3.409245729
17.54913521;3.41336298
17.59366798;3.417659521
17.6342411;3.421923399
17.66861725;3.4259758
